Report Publish Date,Current Threat,IP Classification,URL Classification,Hash Classification,Known Threat,Threat Level in MISP,If Low,If Medium,If High,If Undefined
"June 19th 2016, 19:00:00.000",True,209.99.40.222,,,APT,Medium,,Medium,,
"June 19th 2016, 19:00:00.000",True,209.99.40.225,,,APT,Medium,,Medium,,
"October 11th 2016, 19:00:00.000",True,209.99.40.226,,,APT,Medium,,Medium,,
"October 11th 2016, 19:00:00.000",True,209.99.40.226,,,APT,Medium,,Medium,,
"October 25th 2016, 19:00:00.000",True,209.99.40.223,,,APT,Medium,,Medium,,
"October 25th 2016, 19:00:00.000",True,209.99.40.227,,,APT,Medium,,Medium,,
"April 24th 2017, 19:00:00.000",,80.82.69.134,,,APT,Medium,,Medium,,
"June 11th 2017, 19:00:00.000",,,,,Hash,Low,Low,,,
"June 5th 2017, 19:00:00.000",,,www.mytheresa[.]com,,,Low,Low,,,
"June 7th 2017, 19:00:00.000",,10.0.0.3,,,Hash,Low,Low,,,
"June 12th 2017, 19:00:00.000",,197.163.132.194,,,,Low,Low,,,
"June 12th 2017, 19:00:00.000",,78.38.150.25,,,,Low,Low,,,
"November 19th 2014, 18:00:00.000",True,0.0.0.0,,,,Undefined,,,,Undefined
"June 8th 2017, 19:00:00.000",,,is.gd,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,195.110.124.188,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,108.174.147.136,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,69.65.3.213,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,89.231.13.33,,,,Low,Low,,,
"June 8th 2017, 19:00:00.000",,81.169.145.88,,,,Low,Low,,,
"June 14th 2017, 19:00:00.000",,103.195.185.222,,,,,,,,
"June 8th 2017, 19:00:00.000",,,www.proofpoint[.]com,,,Low,Low,,,
"June 21st 2017, 19:00:00.000",,91.198.22.70,,,RAT,Low,Low,,,
"June 21st 2017, 19:00:00.000",,216.146.43.71,,,RAT,Low,Low,,,
"June 21st 2017, 19:00:00.000",,,checkip.dyndns[.]org,,RAT,Low,Low,,,
"June 21st 2017, 19:00:00.000",,216.146.38.70,,,RAT,Low,Low,,,
"June 8th 2017, 19:00:00.000",,185.26.122.68,,,,Low,Low,,,
"June 15th 2017, 19:00:00.000",,,www.symantec[.]com,,RAT,Low,Low,,,
"June 1st 2017, 19:00:00.000",,,imgh[.]us,,RAT,Low,Low,,,
"June 1st 2017, 19:00:00.000",,162.255.119.248,,,,Low,Low,,,
"June 19th 2017, 19:00:00.000",,,,014891c5e4525f7bd94646af64137497338edda2a12985a9197b7603f54d5516,,Low,Low,,,
"June 8th 2017, 19:00:00.000",,185.53.179.7,,,,Low,Low,,,
"June 21st 2017, 19:00:00.000",,17.178.96.59,,,,Low,Low,,,
"June 21st 2017, 19:00:00.000",,108.174.10.10,,,,Low,Low,,,
"June 11th 2017, 19:00:00.000",,81.169.145.68,,,,,,,,
"June 14th 2017, 19:00:00.000",,92.43.113.68,,,,Low,Low,,,
"March 10th 2016, 18:00:00.000",True,,republika[.]pl,,,Low,Low,,,
"March 13th 2016, 19:00:00.000",True,85.248.29.36,,,,Low,Low,,,
"March 15th 2016, 19:00:00.000",True,69.195.124.132,,,,Low,Low,,,
"March 16th 2016, 19:00:00.000",True,208.91.198.130,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,204.79.197.200,,,,Low,Low,,,
"June 13th 2016, 19:00:00.000",True,162.255.119.250,,,APT,Medium,,Medium,,
"January 19th 2015, 18:00:00.000",True,,microsoft[.]com,,,High,,,High,
"May 29th 2013, 19:00:00.000",True,205.178.189.131,,,,Low,Low,,,
"May 22nd 2016, 19:00:00.000",True,80.74.145.80,,,APT,High,,,High,
"May 22nd 2016, 19:00:00.000",True,80.74.145.80,,,APT,High,,,High,
"June 8th 2017, 19:00:00.000",,,dfrs12kz9qye2.cloudfront[.]net,,,Low,Low,,,
"June 8th 2017, 19:00:00.000",,,dc44qjwal3p07.cloudfront[.]net,,,Low,Low,,,
"March 27th 2016, 19:00:00.000",True,195.22.28.198,,,,Low,Low,,,
"June 15th 2017, 19:00:00.000",,212.92.106.156,,,,Medium,,Medium,,
"August 13th 2012, 19:00:00.000",True,,www.microsoft[.]com,,,Undefined,,,,Undefined
"October 8th 2014, 19:00:00.000",True,10.0.1.9,,,,Medium,,Medium,,
"November 17th 2014, 18:00:00.000",True,127.0.0.1,,,APT,Undefined,,,,Undefined
"November 17th 2014, 18:00:00.000",True,208.91.197.132,,,APT,Undefined,,,,Undefined
"October 1st 2014, 19:00:00.000",True,198.20.69.74,,,,Low,Low,,,
"May 23rd 2017, 19:00:00.000",,,b.codeonclick.com,,,Medium,,Medium,,
"May 11th 2017, 19:00:00.000",,,www.bancomer.com[.]mx,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,195.22.26.248,,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,192.237.153.208,,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,75.126.5.21,,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,46.101.166.19,,,WannaCry,High,,,High,
"June 11th 2017, 19:00:00.000",,,www.download.windowsupdate[.]com,,,Low,Low,,,
"June 11th 2017, 19:00:00.000",,,ipecho[.]net,,,Low,Low,,,
"July 10th 2016, 19:00:00.000",True,5.135.183.154,,,APT,Medium,,Medium,,
"June 4th 2017, 19:00:00.000",,185.62.189.129,,,Hash,Low,Low,,,
"March 10th 2016, 18:00:00.000",True,213.231.5.12,,,Hash,Low,Low,,,
"June 11th 2017, 19:00:00.000",,185.60.216.35,,,Hash,Low,Low,,,
"June 4th 2017, 19:00:00.000",,62.210.139.92,,,Hash,Low,Low,,,
"June 4th 2017, 19:00:00.000",,62.210.139.92,,,Hash,Low,Low,,,
"March 10th 2016, 18:00:00.000",True,8.8.8.8,,,Hash,Low,Low,,,
"March 10th 2016, 18:00:00.000",True,,xnxx[.]com,,Hash,Low,Low,,,
"June 26th 2017, 19:00:00.000",,,,dc39a7c3de4a13ca1ddd43b16f161430a017d82d347bb06e622ac246d301ff78,,Undefined,,,,Undefined
"March 6th 2017, 18:00:00.000",,109.169.61.8,,,,Undefined,,,,Undefined
"June 21st 2017, 19:00:00.000",,,,a053a2a795f056c9687f03a4a1ccfd842bc9cd10bc06bbb99da8283c078e78b6,,Undefined,,,,Undefined
"June 21st 2017, 19:00:00.000",,,,82502191c9484b04d685374f9879a0066069c49b8acae7a04b01d38d07e8eca0,,Undefined,,,,Undefined
"June 22nd 2017, 19:00:00.000",,89.45.235.21,,,WannaCry,Undefined,,,,Undefined
"June 22nd 2017, 19:00:00.000",,81.30.158.223,,,WannaCry,Undefined,,,,Undefined
"June 22nd 2017, 19:00:00.000",,81.30.158.223,,,WannaCry,Undefined,,,,Undefined
"June 22nd 2017, 19:00:00.000",,188.166.23.127,,,WannaCry,Undefined,,,,Undefined
"June 22nd 2017, 19:00:00.000",,89.45.235.21,,,WannaCry,Undefined,,,,Undefined
"March 24th 2016, 19:00:00.000",True,103.9.103.191,,,,Undefined,,,,Undefined
"March 24th 2016, 19:00:00.000",True,103.9.103.191,,,,Undefined,,,,Undefined
"June 13th 2017, 19:00:00.000",,,api-restlet[.]com,,,Undefined,,,,Undefined
"May 25th 2017, 19:00:00.000",,,s29.postimg[.]org,,,Low,Low,,,
"May 25th 2017, 19:00:00.000",,213.174.135.1,,,,Low,Low,,,
"June 19th 2016, 19:00:00.000",True,209.99.40.222,,,APT,Medium,,Medium,,
"June 19th 2016, 19:00:00.000",True,209.99.40.225,,,APT,Medium,,Medium,,
"October 11th 2016, 19:00:00.000",True,209.99.40.226,,,APT,Medium,,Medium,,
"October 11th 2016, 19:00:00.000",True,209.99.40.226,,,APT,Medium,,Medium,,
"October 25th 2016, 19:00:00.000",True,209.99.40.223,,,APT,Medium,,Medium,,
"October 25th 2016, 19:00:00.000",True,209.99.40.227,,,APT,Medium,,Medium,,
"April 24th 2017, 19:00:00.000",,80.82.69.134,,,APT,Medium,,Medium,,
"June 11th 2017, 19:00:00.000",,,,,Hash,Low,Low,,,
"June 5th 2017, 19:00:00.000",,,www.mytheresa[.]com,,,Low,Low,,,
"June 7th 2017, 19:00:00.000",,10.0.0.3,,,Hash,Low,Low,,,
"June 12th 2017, 19:00:00.000",,197.163.132.194,,,,Low,Low,,,
"June 12th 2017, 19:00:00.000",,78.38.150.25,,,,Low,Low,,,
"November 19th 2014, 18:00:00.000",True,0.0.0.0,,,,Undefined,,,,Undefined
"June 8th 2017, 19:00:00.000",,,is.gd,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,195.110.124.188,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,108.174.147.136,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,69.65.3.213,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,89.231.13.33,,,,Low,Low,,,
"June 8th 2017, 19:00:00.000",,81.169.145.88,,,,Low,Low,,,
"June 14th 2017, 19:00:00.000",,103.195.185.222,,,,,,,,
"June 8th 2017, 19:00:00.000",,,www.proofpoint[.]com,,,Low,Low,,,
"June 21st 2017, 19:00:00.000",,91.198.22.70,,,RAT,Low,Low,,,
"June 21st 2017, 19:00:00.000",,216.146.43.71,,,RAT,Low,Low,,,
"June 21st 2017, 19:00:00.000",,,checkip.dyndns[.]org,,RAT,Low,Low,,,
"June 21st 2017, 19:00:00.000",,216.146.38.70,,,RAT,Low,Low,,,
"June 8th 2017, 19:00:00.000",,185.26.122.68,,,,Low,Low,,,
"June 15th 2017, 19:00:00.000",,,www.symantec[.]com,,RAT,Low,Low,,,
"June 1st 2017, 19:00:00.000",,,imgh[.]us,,RAT,Low,Low,,,
"June 1st 2017, 19:00:00.000",,162.255.119.248,,,,Low,Low,,,
"June 19th 2017, 19:00:00.000",,,,014891c5e4525f7bd94646af64137497338edda2a12985a9197b7603f54d5516,,Low,Low,,,
"June 8th 2017, 19:00:00.000",,185.53.179.7,,,,Low,Low,,,
"June 21st 2017, 19:00:00.000",,17.178.96.59,,,,Low,Low,,,
"June 21st 2017, 19:00:00.000",,108.174.10.10,,,,Low,Low,,,
"June 11th 2017, 19:00:00.000",,81.169.145.68,,,,,,,,
"June 14th 2017, 19:00:00.000",,92.43.113.68,,,,Low,Low,,,
"March 10th 2016, 18:00:00.000",True,,republika[.]pl,,,Low,Low,,,
"March 13th 2016, 19:00:00.000",True,85.248.29.36,,,,Low,Low,,,
"March 15th 2016, 19:00:00.000",True,69.195.124.132,,,,Low,Low,,,
"March 16th 2016, 19:00:00.000",True,208.91.198.130,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,204.79.197.200,,,,Low,Low,,,
"June 13th 2016, 19:00:00.000",True,162.255.119.250,,,APT,Medium,,Medium,,
"January 19th 2015, 18:00:00.000",True,,microsoft[.]com,,,High,,,High,
"May 29th 2013, 19:00:00.000",True,205.178.189.131,,,,Low,Low,,,
"May 22nd 2016, 19:00:00.000",True,80.74.145.80,,,APT,High,,,High,
"May 22nd 2016, 19:00:00.000",True,80.74.145.80,,,APT,High,,,High,
"June 8th 2017, 19:00:00.000",,,dfrs12kz9qye2.cloudfront[.]net,,,Low,Low,,,
"June 8th 2017, 19:00:00.000",,,dc44qjwal3p07.cloudfront[.]net,,,Low,Low,,,
"March 27th 2016, 19:00:00.000",True,195.22.28.198,,,,Low,Low,,,
"June 15th 2017, 19:00:00.000",,212.92.106.156,,,,Medium,,Medium,,
"August 13th 2012, 19:00:00.000",True,,www.microsoft[.]com,,,Undefined,,,,Undefined
"October 8th 2014, 19:00:00.000",True,10.0.1.9,,,,Medium,,Medium,,
"November 17th 2014, 18:00:00.000",True,127.0.0.1,,,APT,Undefined,,,,Undefined
"November 17th 2014, 18:00:00.000",True,208.91.197.132,,,APT,Undefined,,,,Undefined
"October 1st 2014, 19:00:00.000",True,198.20.69.74,,,,Low,Low,,,
"May 23rd 2017, 19:00:00.000",,,b.codeonclick.com,,,Medium,,Medium,,
"May 11th 2017, 19:00:00.000",,,www.bancomer.com[.]mx,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,195.22.26.248,,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,192.237.153.208,,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,75.126.5.21,,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,46.101.166.19,,,WannaCry,High,,,High,
"June 11th 2017, 19:00:00.000",,,www.download.windowsupdate[.]com,,,Low,Low,,,
"June 11th 2017, 19:00:00.000",,,ipecho[.]net,,,Low,Low,,,
"July 10th 2016, 19:00:00.000",True,5.135.183.154,,,APT,Medium,,Medium,,
"November 19th 2014, 18:00:00.000",True,0.0.0.0,,,,Undefined,,,,Undefined
"June 8th 2017, 19:00:00.000",,,is.gd,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,195.110.124.188,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,108.174.147.136,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,69.65.3.213,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,89.231.13.33,,,,Low,Low,,,
"June 8th 2017, 19:00:00.000",,81.169.145.88,,,,Low,Low,,,
"June 14th 2017, 19:00:00.000",,103.195.185.222,,,,,,,,
"June 8th 2017, 19:00:00.000",,,www.proofpoint[.]com,,,Low,Low,,,
"June 21st 2017, 19:00:00.000",,91.198.22.70,,,RAT,Low,Low,,,
"June 21st 2017, 19:00:00.000",,216.146.43.71,,,RAT,Low,Low,,,
"June 21st 2017, 19:00:00.000",,,checkip.dyndns[.]org,,RAT,Low,Low,,,
"June 21st 2017, 19:00:00.000",,216.146.38.70,,,RAT,Low,Low,,,
"June 8th 2017, 19:00:00.000",,185.26.122.68,,,,Low,Low,,,
"June 15th 2017, 19:00:00.000",,,www.symantec[.]com,,RAT,Low,Low,,,
"June 1st 2017, 19:00:00.000",,,imgh[.]us,,RAT,Low,Low,,,
"June 1st 2017, 19:00:00.000",,162.255.119.248,,,,Low,Low,,,
"June 19th 2017, 19:00:00.000",,,,014891c5e4525f7bd94646af64137497338edda2a12985a9197b7603f54d5516,,Low,Low,,,
"June 8th 2017, 19:00:00.000",,185.53.179.7,,,,Low,Low,,,
"June 21st 2017, 19:00:00.000",,17.178.96.59,,,,Low,Low,,,
"June 21st 2017, 19:00:00.000",,108.174.10.10,,,,Low,Low,,,
"June 11th 2017, 19:00:00.000",,81.169.145.68,,,,,,,,
"June 14th 2017, 19:00:00.000",,92.43.113.68,,,,Low,Low,,,
"March 10th 2016, 18:00:00.000",True,,republika[.]pl,,,Low,Low,,,
"March 13th 2016, 19:00:00.000",True,85.248.29.36,,,,Low,Low,,,
"March 15th 2016, 19:00:00.000",True,69.195.124.132,,,,Low,Low,,,
"March 16th 2016, 19:00:00.000",True,208.91.198.130,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,204.79.197.200,,,,Low,Low,,,
"June 13th 2016, 19:00:00.000",True,162.255.119.250,,,APT,Medium,,Medium,,
"January 19th 2015, 18:00:00.000",True,,microsoft[.]com,,,High,,,High,
"May 29th 2013, 19:00:00.000",True,205.178.189.131,,,,Low,Low,,,
"May 22nd 2016, 19:00:00.000",True,80.74.145.80,,,APT,High,,,High,
"May 22nd 2016, 19:00:00.000",True,80.74.145.80,,,APT,High,,,High,
"June 8th 2017, 19:00:00.000",,,dfrs12kz9qye2.cloudfront[.]net,,,Low,Low,,,
"June 8th 2017, 19:00:00.000",,,dc44qjwal3p07.cloudfront[.]net,,,Low,Low,,,
"March 27th 2016, 19:00:00.000",True,195.22.28.198,,,,Low,Low,,,
"June 15th 2017, 19:00:00.000",,212.92.106.156,,,,Medium,,Medium,,
"August 13th 2012, 19:00:00.000",True,,www.microsoft[.]com,,,Undefined,,,,Undefined
"October 8th 2014, 19:00:00.000",True,10.0.1.9,,,,Medium,,Medium,,
"November 17th 2014, 18:00:00.000",True,127.0.0.1,,,APT,Undefined,,,,Undefined
"November 17th 2014, 18:00:00.000",True,208.91.197.132,,,APT,Undefined,,,,Undefined
"October 1st 2014, 19:00:00.000",True,198.20.69.74,,,,Low,Low,,,
"May 23rd 2017, 19:00:00.000",,,b.codeonclick.com,,,Medium,,Medium,,
"May 11th 2017, 19:00:00.000",,,www.bancomer.com[.]mx,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,195.22.26.248,,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,192.237.153.208,,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,75.126.5.21,,,WannaCry,High,,,High,
"May 11th 2017, 19:00:00.000",,46.101.166.19,,,WannaCry,High,,,High,
"June 11th 2017, 19:00:00.000",,,www.download.windowsupdate[.]com,,,Low,Low,,,
"June 11th 2017, 19:00:00.000",,,ipecho[.]net,,,Low,Low,,,
"July 10th 2016, 19:00:00.000",True,5.135.183.154,,,APT,Medium,,Medium,,
"June 4th 2017, 19:00:00.000",,185.62.189.129,,,Hash,Low,Low,,,
"March 10th 2016, 18:00:00.000",True,213.231.5.12,,,Hash,Low,Low,,,
"June 11th 2017, 19:00:00.000",,185.60.216.35,,,Hash,Low,Low,,,
"June 4th 2017, 19:00:00.000",,62.210.139.92,,,Hash,Low,Low,,,
"June 4th 2017, 19:00:00.000",,62.210.139.92,,,Hash,Low,Low,,,
"March 10th 2016, 18:00:00.000",True,8.8.8.8,,,Hash,Low,Low,,,
"March 10th 2016, 18:00:00.000",True,,xnxx[.]com,,Hash,Low,Low,,,
"June 26th 2017, 19:00:00.000",,,,dc39a7c3de4a13ca1ddd43b16f161430a017d82d347bb06e622ac246d301ff78,,Undefined,,,,Undefined
"March 6th 2017, 18:00:00.000",,109.169.61.8,,,,Undefined,,,,Undefined
"June 21st 2017, 19:00:00.000",,,,a053a2a795f056c9687f03a4a1ccfd842bc9cd10bc06bbb99da8283c078e78b6,,Undefined,,,,Undefined
"June 21st 2017, 19:00:00.000",,,,82502191c9484b04d685374f9879a0066069c49b8acae7a04b01d38d07e8eca0,,Undefined,,,,Undefined
"June 22nd 2017, 19:00:00.000",,89.45.235.21,,,WannaCry,Undefined,,,,Undefined
"June 22nd 2017, 19:00:00.000",,81.30.158.223,,,WannaCry,Undefined,,,,Undefined
"June 22nd 2017, 19:00:00.000",,81.30.158.223,,,WannaCry,Undefined,,,,Undefined
"June 21st 2017, 19:00:00.000",,108.174.10.10,,,,Low,Low,,,
"June 11th 2017, 19:00:00.000",,81.169.145.68,,,,,,,,
"June 14th 2017, 19:00:00.000",,92.43.113.68,,,,Low,Low,,,
"March 10th 2016, 18:00:00.000",True,,republika[.]pl,,,Low,Low,,,
"March 13th 2016, 19:00:00.000",True,85.248.29.36,,,,Low,Low,,,
"March 15th 2016, 19:00:00.000",True,69.195.124.132,,,,Low,Low,,,
"March 16th 2016, 19:00:00.000",True,208.91.198.130,,,,Low,Low,,,
"June 20th 2017, 19:00:00.000",,204.79.197.200,,,,Low,Low,,,
"June 13th 2016, 19:00:00.000",True,162.255.119.250,,,APT,Medium,,Medium,,
"January 19th 2015, 18:00:00.000",True,,microsoft[.]com,,,High,,,High,
"May 29th 2013, 19:00:00.000",True,205.178.189.131,,,,Low,Low,,,
"May 22nd 2016, 19:00:00.000",True,80.74.145.80,,,APT,High,,,High,
